,sentence,word_index,sentence_index,l1_label,l2_label
60,Tap index finger to thumb,17,5,60,4
61,"Extend all fingers on one hand, palm facing outwards.",18,1,31,4
62,Hold up the index finger on the other hand.,18,2,60,6
63,Tap the index finger to the extended fingers on the first hand.,18,3,60,6
64,"Use both hands to sign the number 7: Use your dominant hand to make a hook shape with your thumb and index finger, and touch it to your non-dominant hand that is held flat with fingers extended.",19,1,40,9
65,"Use both hands to sign the number 0: Use your dominant hand to make a circle shape with your thumb and index finger, and touch it to your non-dominant hand that is held flat with fingers extended.",19,2,40,9
66,"Start with both hands in fists, palms facing in, and raise them to shoulder height.",20,1,2,3
67,"Separate the hands slightly, keeping the palms facing down.",20,2,49,7
68,"Extend the index finger on the right hand, while keeping the left hand in place.",20,3,13,0
69,"Tap the right index finger to the left palm, then move both hands down to waist level.",20,4,13,0
70,"Extend your thumb and pinky finger, keeping the other fingers folded in.",21,1,6,3
71,Rotate your hand so that your thumb is facing outwards and your pinky is facing towards you.,21,2,95,1
72,Hold up your hand with the 8 fingers facing the person you are communicating with.,21,3,70,3
73,Hold up your index finger with your palm facing towards you.,22,1,70,3
74,Curl your thumb under your fingers to form the number 9.,22,2,57,10
75,Hold the 9 sign up in the air.,22,3,70,7
76,Start with both hands forming the number 9 in GSL,23,1,55,0
77,Rotate the hands to form the number 8,23,2,78,3
78,Hold up both hands to show the numbers 98,23,3,94,5
79,Extend right hand forward in a flat palm facing up.,24,1,15,5
80,Bring left hand forward in a flat palm facing down to meet right hand.,24,2,63,3
81,Make a tapping motion with right hand on top of left hand.,24,3,90,3
82,"Raise your dominant hand with all fingers extended, palm facing forward.",25,1,73,5
83,Bring your hand down in a quick chopping motion.,25,2,59,4
84,Tilt your head slightly to the side for emphasis.,25,3,27,2
85,"Make a 'P' shape with your right hand, palm facing inwards.",26,1,58,0
86,"Make a 'P' shape with your left hand, palm facing inwards.",26,2,58,0
87,Tap the thumb of your left hand against the palm of your right hand twice.,26,3,74,0
88,"Use your dominant hand to make a ""b"" shape with your fingers.",27,1,40,9
89,"Bring your hand up to your chest, near your dominant shoulder.",27,2,57,3
90,"Move your hand slightly forward and down, almost like you are dropping the letter.",27,3,42,3
91,Open your hand and relax your fingers.,27,4,57,8
92,"Form the letter ""d"" with the dominant hand",28,1,78,7
93,Place the tip of the thumb on the middle finger,28,2,60,3
94,Extend the index finger outwards,28,3,60,1
95,Move the hand slightly up and down in a small circular motion,28,4,72,5
96,Extend the index finger of the dominant hand.,29,1,60,3
97,Place the index finger on the palm of the non-dominant hand.,29,2,1,0
98,Tap the index finger on the palm twice.,29,3,67,5
99,"Open both hands, palms facing up.",29,4,88,7
100,One hand forms the number 一 and moves slightly to the right,30,1,98,1
101,Both hands come together to form a small amount gesture in front of the body.,30,2,78,1
102,"Use your dominant hand to form a flat palm facing up, with your non-dominant hand hovering above it.",31,1,35,3
103,"Move your dominant hand in a circular motion, starting from the center and moving outward, to indicate a short amount of time.",31,2,72,3
104,"Bring both hands closer together to show the concept of ""a little while"".",31,3,94,22
105,"Place both hands together, palms facing each other, and then spread them out in a wide arc motion.",32,1,79,4
106,"Bring both hands back together, palms facing each other, and then spread them out in a wide arc motion again.",32,2,79,4
107,Repeat the previous motion one more time.,32,3,62,9
108,"Close both hands into fists, then open them up with palms facing upwards.",32,4,36,4
109,"Touch the fingertips of both hands together, then spread them outwards in a circular motion.",32,5,97,0
110,"Hold one hand palm up and the other hand palm down, move them towards each other until they meet in the middle.",33,1,47,0
111,Move both hands apart.,33,2,51,4
112,Tilt head slightly to the right.,33,3,27,4
113,"Start with both hands flat and palms facing up, then bring them together in a sweeping motion towards the center of the body.",34,1,45,11
114,Continue the motion by pushing both hands forward and outwards in unison.,34,2,42,1
115,"Finally, bring both hands back together near the center of the body in a closing motion.",34,3,66,0
116,Extend both hands in front of the body with palms facing each other.,35,1,96,5
117,"Bring both hands together, making the thumb and index finger of each hand touch.",35,2,60,2
118,"Move both hands in unison to the side of the body, indicating similarity.",35,3,94,4
119,Nod the head slightly to emphasize agreement.,35,4,87,8
120,Index finger of dominant hand taps thumb twice,36,1,60,1
121,"Dominant hand makes a small pinch gesture with thumb and index finger, indicating a small amount.",36,2,60,1
122,"Start with both hands in front of the body, palms facing down",37,1,2,1
123,Move both hands forward and upward in a straight line,37,2,42,2
124,Keep both hands moving in a straight line upward until they reach eye level,37,3,94,31
125,Tilt head slightly back while keeping hands in position,37,4,6,6
126,"Place the left hand flat with palm facing down, and the right hand flat with palm facing down on top of the left hand.",38,1,61,1
127,Bring the hands together and move them outward in a sweeping motion.,38,2,76,5
128,"Both hands make a circular motion outward, with the right hand leading the movement.",38,3,85,1
129,Bring both hands back towards the body and place them in front of the chest with palms facing down.,38,4,45,3
130,Bring both hands together in front of chest with palms facing each other.,39,1,33,8
131,Move both hands forward and outward while keeping palms facing each other.,39,2,79,1
132,"Bring both hands together again, this time interlocking fingers.",39,3,10,3
133,"Bring both hands up and out in a circular motion, indicating unity or togetherness.",39,4,72,12
134,Start with the dominant hand forming the number one by extending one finger.,40,1,47,13
135,"Move the dominant hand down the non-dominant arm, representing a lifetime.",40,2,3,4
136,"Use both hands to touch the sides of the head, signifying the concept of ""for life.""",40,3,23,7
137,"Use both hands to represent the number 10,000 by holding up all fingers.",41,1,83,7
138,Bring both hands down in a small circle motion to show the concept of a large quantity.,41,2,94,22
139,Make a fist with your dominant hand.,42,1,40,2
140,Place the fist on your non-dominant shoulder.,42,2,84,6
141,Extend your dominant hand with palm facing up.,42,3,31,2
142,Tap your dominant hand with your non-dominant hand.,42,4,1,1
143,Raise one hand with palm facing down.,43,1,15,5
144,Move the hand upwards in a straight line.,43,2,39,5
145,Bring the hand to a stop above the head.,43,3,94,16
146,Point with index finger upwards,44,1,93,3
147,Sweep hand upwards in a gesture of going up,44,2,75,0
148,Place both hands on imaginary stage in front,44,3,94,14
149,Tilt head slightly upwards.,44,4,27,8
150,"Start with both hands in a flat, palm-down position in front of chest",45,1,56,4
151,"Lift both hands up and outwards, as if releasing something into the air",45,2,22,4
152,Bring both hands back down to starting position,45,3,77,1
153,Quickly tap both hands together to symbolize completion.,45,4,67,0
154,"Make a fist with your dominant hand and touch your forehead, then bring your hand down to your chest.",46,1,57,9
155,Use both hands to outline a heart shape in front of your chest.,46,2,11,4
156,Point upwards with both index fingers.,46,3,14,5
157,Bow your head slightly as a sign of respect.,46,4,16,2
158,Extend your dominant hand flat with palm facing down and lift it up in a quick motion.,47,1,35,4
159,Quickly lower your hand while turning it over so the palm is facing up.,47,2,95,1
160,"Bring your non-dominant hand up to meet the palm of your dominant hand, as if catching something.",47,3,3,16
161,Shake your hands together in a motion indicating being deceived or tricked.,47,4,94,11
162,Use your dominant hand to make a flat palm facing upward.,48,1,35,6
163,Use your non-dominant hand to form a fist with your index finger pointing upward.,48,2,40,6
164,Point your index finger on your dominant hand to the center of your non-dominant wrist.,48,3,3,3
165,Move your dominant hand in a circular motion while keeping your non-dominant hand in place.,48,4,3,9
166,Bring your dominant hand up to your dominant side shoulder to complete the sign for 上海.,48,5,3,5
167,"Use dominant hand to form a flat handshape, palm facing down. Non-dominant hand forms a flat handshape as well, palm facing up.",49,1,35,3
168,"Move dominant hand in a sweeping motion from top to bottom, indicating going online.",49,2,76,2
169," Move non-dominant hand in a circular motion, indicating the concept of the internet.",49,3,72,3
170,Combine both hand movements together to represent the action of 上网.,49,4,83,3
171,Point upwards with one hand,50,1,4,2
172,Move hand in a straight line from bottom to top,50,2,39,5
173,"At the same time, nod head upwards",50,3,87,8
174,Open hand and slightly lift upwards,50,4,91,1
175,"Start with both hands in fist shape, palms facing down, and move them downwards simultaneously.",51,1,48,1
176,"Open both hands, palms down, and continue to move them downwards.",51,2,39,6
177,"Bring both hands together in front of the chest, palms down, and push them downwards in a smooth motion.",51,3,37,2
178,"Extend both hands with palms facing down, one on top of the other, to represent ""afternoon"".",52,1,47,7
179,"Bring your hands down in a straight line to symbolize the concept of ""below"" or ""after"".",52,2,94,6
180,Tap your wrist with your opposite hand as a signifier for time.,52,3,57,0
181,"Start with both hands positioned near the chest, palms facing down.",53,1,2,8
182,Extend both hands forward and downwards simultaneously.,53,2,42,6
183,Rotate both hands so that the palms are facing up.,53,3,43,3
184,"Slowly move both hands in a downwards arc motion, as if representing the end of a work day.",53,4,0,4
185,Start with both hands held up with fingers pointing downwards.,54,1,54,2
186,Move both hands downwards in a zigzag motion as if downloading content.,54,2,69,7
187,Finish with both hands relaxed at the sides.,54,3,46,0
188,"Sign for ""下"" (move hands downward in front of body)",55,1,89,1
189,"Sign for ""雨"" (wiggle fingers in front of body to represent falling rain)",55,2,89,1
190,"Use both hands in claw shapes, palms facing downwards, to indicate ""down""",56,1,94,7
191,Use one hand to represent a surface or ground by making a flat palm facing down motion towards the ground.,56,2,83,1
192,Extend both hands out in front of the chest with palms facing down.,57,1,96,1
193,"Cross arms in front of the chest, while shaking the head from side to side.",57,2,8,2
194,Open hands and bring them down to the sides.,57,3,23,3
195,Start with the dominant hand making a fist and placing it in front of the non-dominant shoulder.,58,1,84,4
196,"Move the dominant hand forward and slightly down, opening the fist into a flat hand with the palm facing downwards.",58,2,35,7
197,Quickly move the dominant hand back to the starting position while making a small circle with the wrist.,58,3,77,5
198,Repeat the previous motion two more times.,58,4,19,3
199,Finish by bringing both hands together in front of the chest with the palms facing each other.,58,5,33,8
200,"Raise both hands in front of the chest, palms facing down.",59,1,81,2
201,Rotate both hands so that the palms are facing up.,59,2,43,3
202,Lower both hands down and shake head from side to side.,59,3,8,6
203,"Use your dominant hand to create an open 5 handshape, palm facing down.",60,1,35,5
204,"Move your hand from left to right in front of your chest, indicating different sides.",60,2,98,2
205,"Use your non-dominant hand to create an open 5 handshape, palm facing up.",60,3,35,5
206,"Move your non-dominant hand from right to left in front of your chest, indicating another side.",60,4,3,5
207,"Tap the side of your dominant hand with your non-dominant hand, signifying the concept of ""different.""",60,5,1,1
208,Use both hands to make a 'thumbs down' gesture.,61,1,75,1
209,Shake your head from side to side while keeping the 'thumbs down' gesture.,61,2,8,6
210,Cross your arms in front of your chest to emphasize the disagreement.,61,3,25,1
211,Keep the 'thumbs down' gesture and shake your head more vigorously to express strong disagreement.,61,4,75,1
212,Point index fingers towards self,62,1,14,0
213,Shake head side to side,62,2,8,3
214,Cross arms in front of chest,62,3,25,6
215,Shake head side to side.,62,4,8,3
216,Start with both hands open and palms facing down at chest level.,63,1,50,8
217,Move both hands outward and downward to the sides.,63,2,23,7
218,Bring both hands back towards the center of the body.,63,3,45,3
219,Shake head from side to side while making a 'no' gesture with both hands,64,1,8,0
220,"Extend both hands outwards, palms facing down, to indicate 'not enough'",64,2,29,5
221,Cross arms over chest and shake head again in a dismissive manner,64,3,25,2
222,Flash both hands outwards in a sharp motion to emphasize the lack of sufficiency.,64,4,94,36
223,Use both hands to shake palms facing down.,65,1,44,0
224,Rotate both hands to make palms face upwards.,65,2,99,5
225,Lower both hands to waist level.,65,3,41,1
226,"Use both hands to make a ""no"" gesture by shaking them back and forth.",66,1,75,1
227,Touch your chest with one hand and then touch your mouth with the other hand.,66,2,47,4
228,Use your fingers to mimic the action of eating something.,66,3,44,4
229,Raise both hands with palms facing down at shoulder height.,67,1,5,2
230,"Bring both hands down to chest level, palms still facing down.",67,2,9,1
231,Cross hands in front of chest with right hand above left hand.,67,3,90,0
232,Tilt head slightly to the right.,67,4,27,4
233,"Start with both hands forming a ""B"" shape with palms facing down.",68,1,55,4
234,"Bring both hands up to chest level, crossing over each other.",68,2,28,2
235,"Open both hands into flat palms, facing upward.",68,3,88,3
236,Shake both hands back and forth in a sad or distressing manner.,68,4,52,2
237,"The dominant hand (right hand for right-handed signers) makes a fist with the index finger extended, pointing downwards.",69,1,98,5
238,The non-dominant hand (left hand for right-handed signers) is held palm up at chest level.,69,2,95,0
239,"The dominant hand moves from pointing downwards to pointing upwards, while the non-dominant hand remains still.",69,3,3,10
240,"The dominant hand then closes into a fist, signaling the negative meaning of ""不"" (not).",69,4,94,7
241,"Both hands then move away from the body, spreading apart, to indicate the action of not wanting (想).",69,5,38,0
242,Shake head side to side with palms facing upward in a questioning gesture.,70,1,8,9
243,"Point to forehead with index finger, indicating lack of understanding.",70,2,93,3
244,"Bring both hands up to sides of head, palms facing outward, and shake head again.",70,3,23,8
245,Cross arms in front of chest with a puzzled expression on face.,70,4,25,6
246,Shake head side to side with palms facing down.,71,1,8,9
247,Cross arms in front of chest with fingers pointing outwards.,71,2,25,3
248,Shake head side to side again with palms facing down.,71,3,8,9
249,Raise both hands in front of chest with palms facing down,72,1,81,2
250,Shake head from side to side,72,2,8,3
251,"Turn both hands outwards, palm facing forward, while shaking head",72,3,68,6
252,Cross arms in an X shape in front of chest,72,4,25,5
253,Shake head left and right.,73,1,63,6
254,Point to self with palms facing up.,73,2,4,4
255,Move hands away from body as if pushing something away.,73,3,38,4
256,Shake head left and right.,73,4,63,6
257,"Start with palms facing upwards, then quickly flip both hands downwards.",74,1,88,0
258,"Cross arms in front of chest, with palms facing outwards.",74,2,25,3
259,Shake head from side to side while keeping arms crossed.,74,3,8,5
260,Uncross arms and shake both hands with palms facing downwards.,74,4,12,3
261,"Raise both hands up in front of the chest, palms facing down.",75,1,81,2
262,Tilt the head slightly to the right while moving both hands in circular motion.,75,2,27,9
263,"Spread both hands out to the sides, palms up, with a questioning expression on the face.",75,3,30,2
264,"Start with hands palms facing down, at shoulder-width apart, then bring them together in front of chest, forming a flat shape.",76,1,51,1
265,"Flip hands over so palms face up, then move them outwards in a circular motion, as if pushing something away.",76,2,22,3
266,Shake head from side to side while keeping hands in the same position.,76,3,8,4
267,"Open palms and lift them up slightly, as if indicating 'no'.",76,4,91,1
268,"Use dominant hand to make a palm up gesture, with non-dominant hand forming a fist with thumb pointed down, then switch positions with dominant hand forming a fist and non-dominant hand open.",77,1,3,8
269,"Move both hands forward in a pushing motion, starting with dominant hand palm facing down and non-dominant hand palm facing up, and ending with dominant hand palm facing up and non-dominant hand palm facing down.",77,2,35,0
270,Shake head from side to side in a subtle motion.,77,3,8,4
271,Shake head side to side.,78,1,8,3
272,Cross arms in front of chest.,78,2,25,6
273,Shake head side to side again.,78,3,8,9
274,Shake index finger back and forth while keeping arms crossed.,78,4,52,2
275,"Raise both hands with palms facing up, then turn the palms downward.",79,1,5,0
276,Bring both hands in front of the chest and cross them over each other.,79,2,25,4
277,Separate both hands while moving them outward and downward.,79,3,49,0
278,Shake the head from side to side.,79,4,8,3
279,Make a claw hand shape with your dominant hand.,80,1,40,9
280,"Place the claw hand shape on the side of your face, near your cheek.",80,2,71,2
281,Pull your hand away from your face while keeping the claw hand shape.,80,3,6,1
282,Repeat the pulling motion a couple of times.,80,4,19,5
283,"Start with both hands in fists, palms facing down.",81,1,2,3
284,"Bring both hands together in front of your chest, then extend one hand forward with the index finger pointing out.",81,2,60,2
285,Rotate the extended hand in a circular motion while keeping the other hand still.,81,3,6,1
286,"Bring both hands back together in fists, palms facing down.",81,4,81,1
287,Start with both hands in fists with the index fingers pointed up at the temples.,82,1,14,2
288,"Bring both hands down and out in a circular motion, opening the fists as you do so.",82,2,72,0
289,Point both index fingers forward while bringing them close together in front of your chest.,82,3,14,6
290,"Raise both hands up and out in an upward motion, emphasizing expertise or professionalism.",82,4,94,16
291,"Start with hands open and palms facing down, then bring hands together to form a ‘Z’ shape.",83,1,78,2
292,Raise the ‘Z’ shaped hands up and to the side of the head.,83,2,7,0
293,Tilt head to one side as hands form a circle around the head.,83,3,7,6
294,Bring hands back together in front of the chest in a closed fist.,83,4,81,4
295,Use both hands to outline a circle shape in front of the chest area.,84,1,11,4
296,Move one hand upward while keeping the other hand stationary.,84,2,6,1
297,"Move both hands in a circular motion, showing the vastness of the world.",84,3,72,1
298,Bring both hands together to form a globe shape.,84,4,78,5
299,"Start with both hands in the ‘C’ handshape, palms facing down.",85,1,2,10
300,"Bring both hands together in front of you, with the right hand slightly higher than the left hand.",85,2,90,6
301,Twist the right hand slightly to the right while keeping the left hand stationary.,85,3,98,1
302,"Reverse the motion, twisting the right hand back to the left while keeping the left hand stationary.",85,4,98,1
303,"Bring both hands up in a flat shape, palms facing each other.",86,1,79,6
304,Rotate both hands horizontally in opposite directions.,86,2,99,0
305,Move both hands down slightly while opening and closing them in a tapping motion.,86,3,68,3
306,"Position left hand in front of chest, palm facing down.",87,1,92,2
307,"Position right hand in front of right shoulder, palm facing forward.",87,2,15,3
308,"Bring right hand down diagonally across body to left hip, keeping palm facing forward.",87,3,63,3
309,"Open hands and make a circular motion with both hands in front of body, mimicking the shape of a pearl.",87,4,85,2
310,"Bring hands together in front of body, palms facing each other.",87,5,33,10
311,"Move hands apart and slightly upward, mimicking the rising of the pearl.",87,6,51,5
312,"Bring hands together one more time in front of body, palms facing each other.",87,7,33,10
313,Start with both hands in a relaxed position at chest level.,88,1,46,0
314,Use both hands to mime the action of picking something up from the ground.,88,2,94,39
315,Bring your hands together in front of you to show holding something.,88,3,10,2
316,Shake your hands in a back-and-forth motion to indicate the idea of an object.,88,4,52,5
317,Repeat the shaking motion a few times to emphasize the concept of '东西'.,88,5,19,7
318,Point index finger of dominant hand forward.,89,1,93,5
319,Flick hand downward to mimic dropping something.,89,2,44,0
320,Shake head from side to side.,89,3,8,3
321,Use the dominant hand to mimic the action of throwing something away from your body.,90,1,44,6
322,"Bring the non-dominant hand up to the opposite side of your face, palm facing outward.",90,2,73,0
323,"Use the dominant hand to gesture towards the face in a downward motion, as if brushing something away.",90,3,75,2
324,Shake the head side to side while maintaining the gesture towards the face.,90,4,8,6
325,Hold up two fingers with the palm facing towards you,91,1,70,3
326,Tap the index finger of the non-dominant hand with the dominant hand,91,2,1,0
327,Bring both hands together in front of you to show the number two,91,3,10,2
328,Make a fist with both hands.,92,1,48,0
329,Bring both fists close to your chest.,92,2,36,1
330,"Extend both arms outwards, keeping the fists clenched.",92,3,12,0
331,Tighten your facial expression.,92,4,30,3
332,"Start with both hands in fists, palms facing down, and bring them up to chest level.",93,1,5,0
333,"Open both hands, palms facing down, and bring them down with a serious expression on your face.",93,2,30,2
334,"Close your fists again, palms facing down, and raise them up to head level.",93,3,5,4
335,"Open both hands, palms facing down, and bring them down with a stern look on your face.",93,4,88,2
336,Place the fingertips of both hands on the chest.,94,1,97,5
337,"Extend both hands outward in a sharp, emphatic motion.",94,2,21,6
338,Bring both hands back to the chest with a serious expression.,94,3,30,2
339,Shake your head slightly from side to side.,94,4,8,8
340,"Start with your dominant hand making a 'G' handshape, palm facing down, and your non-dominant hand in a flat 'G' handshape, palm facing up.",95,1,35,0
341,Bring your dominant hand down and tap the center of your non-dominant hand.,95,2,1,5
342,Lift your dominant hand up and curl your fingers in towards your palm.,95,3,73,4
343,Bring your dominant hand down and tap the top of your non-dominant hand.,95,4,1,5
344,"Bring your dominant hand up and extend your index finger, pointing forward.",95,5,60,0
345,"Use dominant hand to make a ""6"" handshape with fingers pointing up, palm facing the body, and move down in front of the body.",96,1,34,2
346,"Use non-dominant hand to make a flat ""L"" handshape, palm facing down, and move up underneath the dominant hand.",96,2,35,4
347,Bring both hands together and tap the fingertips of the dominant hand onto the non-dominant hand.,96,3,1,0
348,"Start with both hands facing each other in front of your chest, palms facing down.",97,1,17,4
349,"Move both hands out to the sides, keeping them parallel to the ground.",97,2,23,2
350,"Bring both hands back towards each other, stopping in front of your chest.",97,3,33,7
351,Tap the fingertips of both hands together to create the sign for 中.,97,4,97,1
352,Extend dominant hand with palm facing up.,98,1,31,2
353,Place non-dominant hand on top of dominant hand.,98,2,84,1
354,Lift both hands together to chest level.,98,3,91,2
355,Bring both hands down to waist level with palms facing up.,98,4,41,2
356,"Start with both hands open, palms facing downwards, and bring them together in front of the chest.",99,1,2,5
357,"Use your right hand to make a chopping motion across the left hand, symbolizing '中' (middle).",99,2,63,1
358,"Use both hands to make a circular motion in front of the chest, symbolizing '华' (China).",99,3,85,5
359,"Extend both hands forward, palms facing up.",100,1,96,4
360,"Bring both hands together, overlapping the pinky fingers.",100,2,94,33
361,"Separate the hands slightly and move them in a circular motion, resembling the shape of China on a map.",100,3,72,7
362,"Flatten the hands and bring them together, symbolizing the unity of China.",100,4,94,19
363,Point to the center of the chest with the dominant hand.,101,1,4,3
364,Form a claw shape with both hands and move them towards the body.,101,2,78,8
365,Open the hands and move them upwards in a quick motion.,101,3,59,1
366,"Place both hands in front of the chest, palms facing inward.",102,1,81,3
367,"Bring both hands together, forming a diamond shape in front of the chest.",102,2,55,2
368,"Move both hands outward from the chest, representing the concept of ""center"".",102,3,0,0
369,Bring both hands back to the starting position in front of the chest.,102,4,77,7
370,"Both hands form the shape of a book by placing one hand on top of the other, palms facing down.",103,1,47,7
371,"Move both hands outward and slightly upwards, mimicking the opening of a book.",103,2,21,7
372,Point to the center of the chest with both hands to represent the Chinese language.,103,3,83,2
373,Nod the head slightly to emphasize the importance of the Chinese language.,103,4,87,8
374,Use both hands to show a wide and full expression.,104,1,53,0
375,"Bring both hands up and outwards, as if showing abundance.",104,2,69,17
376,Extend the fingers on both hands to show a sense of richness.,104,3,94,1
377,Tilt the head slightly to the side to emphasize the concept of abundance.,104,4,7,2
378,"Start with both hands in a flat, open position, palms facing down in front of the chest.",105,1,56,1
379,"Move both hands outward and downward in a sweeping motion, as if indicating something temporary or fleeting.",105,2,69,7
380,"Bring both hands back together in front of the chest, with the fingertips touching.",105,3,65,1
381,Tap the fingertips together a couple of times to emphasize the concept of temporary or provisional.,105,4,97,1
382,Hold your dominant hand in a fist with the index finger pointing outward.,106,1,60,10
383,Bring your non-dominant hand above the index finger and push down slightly.,106,2,60,0
384,Repeat the pushing motion a few times.,106,3,19,3
385,"Raise left hand to chest level, palm facing down.",107,1,5,6
386,"Raise right hand to chest level, palm facing up, and move it towards the left hand.",107,2,63,7
387,"Bring both hands together, palms facing each other, and shake them back and forth.",107,3,52,1
388,Tilt head slightly to the side.,107,4,27,1
389,Drop hands back to sides.,107,5,23,4
390,Hold out dominant hand with fingers extended and palm facing up.,108,1,70,1
391,Use non-dominant hand to tap the center of the palm of the dominant hand twice.,108,2,1,0
392,"Bring dominant hand to chest, palm facing inwards.",108,3,58,2
393,Rotate hand in a circular motion.,108,4,99,2
394,Make a fist with your right hand and extend it forward.,109,1,40,7
395,Bring your left hand up and tap the top of your right hand.,109,2,90,3
396,Move both hands forward in a pushing motion.,109,3,42,1
397,Shake your head slightly while maintaining the pushing motion.,109,4,68,0
398,"Place your dominant hand on your non-dominant shoulder with fingers pointing outwards, then move your hand forward and downward in a diagonal motion.",110,1,3,13
399,Rotate your hand in a circular motion in front of your chest.,110,2,32,3
400,"Bring both hands together in front of your chest with fingers touching, then separate them outwards.",110,3,65,0
401,Point with index finger on dominant hand towards self,111,1,93,0
402,Move hand in a circular motion in front of chest,111,2,72,4
403,Extend both hands forward with palms facing down,111,3,96,4
404,Bring hands together and lock fingers in a flowing motion.,111,4,10,1
405,Raise right hand with palm facing upward.,112,1,15,5
406,Extend left hand to grasp the wrist of the right hand.,112,2,63,2
407,Lift both hands together to a higher position.,112,3,91,2
408,Open right hand to reveal an open palm facing upward.,112,4,15,6
409,"Start with both hands open and facing down, palms towards the body, at chest level.",113,1,50,8
410,"Extend both arms outwards and downwards, with fingers spread wide.",113,2,53,1
411,"Close both hands into fists, keeping fingers extended.",113,3,36,8
412,"Bring fists back towards the body, with elbows bent and fists resting on chest level.",113,4,45,5
413,"Start with your dominant hand facing palm up in front of you, and your non-dominant hand facing palm down on top of it.",114,1,73,2
414,Twist your non-dominant hand slightly.,114,2,3,0
415,Move both hands together to the side.,114,3,8,6
416,Tilt your head slightly to the side.,114,4,27,3
417,"Extend both hands in front of the chest, palms facing each other.",115,1,33,0
418,Move both hands apart from each other slightly.,115,2,51,6
419,Wiggle the fingers of both hands to indicate separation or distance.,115,3,94,23
420,Lower both hands down to the sides.,115,4,23,6
421,"Right hand makes a flat palm facing down, left hand on top of it making a twisting motion.",116,1,61,1
422,"Both hands move together from the chest outwards, palms facing down and fingers slightly apart.",116,2,51,2
423,Head tilts slightly to the side with a neutral expression.,116,3,30,0
424,Extend both hands out in front of you with palms facing each other.,117,1,24,2
425,Make a small bouncing motion with both hands as if hitting a ping pong ball back and forth.,117,2,52,4
426,Bring both hands back to starting position.,117,3,77,1
427,Nod your head slightly.,117,4,87,1
428,Cross arms in front of chest with palms facing down,118,1,25,3
429,Extend one hand out with palm facing up,118,2,31,2
