,sentence,word_index,sentence_index,l1_label,l2_label
59,"Start with both hands open and palms facing up, then quickly flip both hands over so that the palms are facing down.",14,1,53,0
60,Bring both hands to the side of your body and slightly lower them.,14,2,54,7
61,Make a quick motion with both hands as if you are pushing something away from you.,14,3,25,5
62,"Close your hands into fists and bring them back towards your body in a quick, sharp motion.",14,4,83,4
63,"Start with both hands closed in fists, palms facing down",15,1,17,3
64,"Open both hands and raise them to chest level, moving them in a circular motion towards each other",15,2,86,5
65,"Bring both hands together at chest level, with fingers pointing upwards",15,3,71,6
66,Fold fingers on one hand to form the number 8,15,4,37,5
67,Hold up the symbol for 8 with one hand at chest level.,15,5,47,4
68,"Start with your dominant hand in a closed 'A' handshape, palm facing down, near your forehead.",16,1,98,6
69,"Bring your dominant hand down in a straight line, ending with your palm facing up.",16,2,98,6
70,Open your hand into a 'C' handshape.,16,3,48,1
71,"Tap your non-dominant hand with your dominant hand, keeping your palm facing up.",16,4,70,9
72,"Begin with both hands in the ""8"" handshape, palms facing down.",17,1,5,2
73,Move both hands horizontally from left to right in front of the body.,17,2,81,2
74,Bring both hands down to the waist level while slightly opening the fingers.,17,3,82,3
75,"Rotate both hands outward, palms facing up.",17,4,21,0
76,"Extend the index finger and thumb of both hands to form the ""h"" handshape.",17,5,20,4
77,"Bring the ""h"" handshapes together to form a circle.",17,6,51,1
78,Hold the circle in front of the body at waist level.,17,7,31,3
79,Raise right hand with open palm facing outward.,18,1,34,2
80,Bring right hand down in a quick tapping motion.,18,2,39,0
81,Bring left hand up with open palm facing outward.,18,3,98,1
82,Tap left hand against right palm twice.,18,4,96,2
83,"Start with both hands open in front of the chest, palms facing down.",19,1,26,1
84,Move both hands downward and slightly to the left.,19,2,42,0
85,Bring both hands back up to chest level and move them to the right side.,19,3,82,6
86,"Repeat the movement, this time moving the hands to the left side.",19,4,88,1
87,"Finally, bring both hands together in front of the chest, palms touching.",19,5,44,6
88,"Start with both hands closed in fists, thumbs sticking out, and place them in front of your chest.",20,1,18,4
89,"Twist both hands to the right, then back to the center, and then to the left.",20,2,81,8
90,"Open both hands with all fingers extended and spread out, facing palms down.",20,3,8,1
91,"Make a circular motion with both hands in front of your chest, moving from left to right.",20,4,81,2
92,"Bring both hands up towards your head, curling your fingers slightly as if counting.",20,5,24,0
93,Tilt your head slightly to the right while keeping your hands near your head.,20,6,30,13
94,"Start with both hands in front of you, palms facing down.",21,1,26,5
95,"Bring both hands up to your chest, forming a letter 'A' with your right hand and a letter 'E' with your left hand.",21,2,76,4
96,"Move both hands to the side, with your right hand closer to your body and your left hand farther away, forming a letter 'H'.",21,3,81,1
97,"Move your left hand up to your head, forming a letter 'N'.",21,4,76,4
98,"Bring both hands down in front of you, forming a letter 'L' with your right hand and a letter 'C' with your left hand.",21,5,76,4
99,Lower your head slightly as you finish the sign.,21,6,6,0
100,"Begin with both hands in a flat, open position in front of the chest.",22,1,72,3
101,"Move both hands outward and slightly downward, keeping the palms facing each other.",22,2,42,0
102,"Bring both hands back together in a repeated motion, simulating the idea of similarity or comparison.",22,3,87,3
103,End with both hands back at the starting position in front of the chest.,22,4,77,1
104,"Start with both hands in a flat position in front of you, palms facing down.",23,1,72,5
105,Quickly flip both hands over so that palms are facing up.,23,2,53,0
106,Move both hands in a circular motion in opposite directions.,23,3,74,2
107,Bring both hands together and pause briefly.,23,4,19,0
108,Start with both hands open facing your chest,24,1,38,0
109,"Move both hands outwards in a circular motion, as if outlining the shape of Africa on a map",24,2,93,4
110,"Bring both hands back to your chest, forming fists",24,3,19,2
111,"Extend both fists outwards in front of you, emphasizing the size of the continent",24,4,87,9
112,"Bring your dominant hand to your chest, palm facing down.",25,1,98,5
113,Move your hand forward and upward in a sweeping motion.,25,2,36,1
114,Open your hand with fingers spread.,25,3,8,0
115,Tilt your head slightly forward.,25,4,30,8
116,"Start with both hands open, palms facing down, in front of you.",26,1,26,5
117,Bring both hands down in a sweeping motion towards your body.,26,2,95,1
118,"Open both hands, palms facing up, in front of you.",26,3,26,0
119,Move both hands up and down in a quick motion.,26,4,39,1
120,"Start with both hands open, palms facing up.",27,1,38,1
121,"Bring both hands together in front of your body, with fingers spread out.",27,2,8,3
122,"Move both hands outwards, keeping fingers spread, to symbolize ""all"" or ""everyone"".",27,3,8,2
123,"Bring both hands back together in front of your body, palms facing up.",27,4,10,2
124,"Extend both hands with palms facing down, then bring them together in front of your chest.",28,1,33,2
125,"With both index fingers extended, draw a small circle in the air in front of you.",28,2,31,2
126,"Spread both hands outwards and slightly upwards, fingers splayed.",28,3,8,2
127,Tilt your head to the right slightly.,28,4,30,13
128,Start with both hands flat and palms facing down in front of you.,29,1,26,5
129,"Move both hands outwards, spreading the fingers slightly.",29,2,69,3
130,"Bring both hands together in front of your chest, palms facing inwards.",29,3,79,1
131,"Open both hands and move them outwards and slightly upwards, as if encompassing something.",29,4,25,1
132,Make a mountain shape with both hands by extending your fingers and pointing them upwards.,30,1,71,1
133,Move your hands in a rolling motion to signify the mountain range.,30,2,87,5
134,Trace a line with one hand to represent the peaks of the Alps.,30,3,87,0
135,Nod your head slightly to emphasize the significance of the Alps.,30,4,6,4
136,"Start with both hands in a fist, palms facing downwards at chest level.",31,1,56,0
137,"Extend both hands outwards, moving them from left to right in a curved motion to represent the shape of the Alps.",31,2,81,3
138,"Bring both hands back towards the body, extending the index fingers to represent the edge or border of the Alps.",31,3,87,9
139,Rotate both hands in a circular motion to signify the surrounding region or the edge of the Alps.,31,4,89,0
140,"Begin with both hands forming the letter A, palms facing outward, and move them upward in a diagonal motion.",32,1,62,1
141,"Rotate both hands so that the palms face downward, and move them in a downward diagonal motion.",32,2,42,0
142,"With one hand forming an L-shape and the other hand forming a ""mountain"" shape, move the L-shaped hand upward along the mountain shape.",32,3,19,4
143,"Bring both hands together in a valley shape, with fingers pointing inward, and move them downward.",32,4,71,2
144,"Raise both hands up in front of your chest, palms facing down.",33,1,34,1
145,"Bring both hands down and outwards at an angle, fingers pointing outwards.",33,2,71,4
146,Tap the back of your left hand with your right hand.,33,3,96,1
147,"Rotate both hands to the right, keeping the same hand shape.",33,4,81,9
148,Bring both hands towards your chest and separate them quickly.,33,5,41,7
149,"Bring both hands up towards the chest, palms facing inwards.",34,1,79,3
150,Open both hands and move them away from the body in a sweeping motion.,34,2,2,7
151,Close both hands into fists and bring them back towards the chest.,34,3,83,4
152,Open both hands again and move them outwards in a circular motion.,34,4,29,9
153,"Extend both arms out in front of you, palms facing down.",35,1,23,0
154,"Bring both hands up towards your shoulders, as if indicating something high.",35,2,22,3
155,Lower both hands down towards the ground in a downward motion.,35,3,42,4
156,Nod your head slightly as you lower your hands.,35,4,6,0
157,Extend your dominant hand in front of you with the palm facing up.,36,1,80,4
158,"Using your non-dominant hand, tap the palm of your dominant hand twice.",36,2,12,3
159,"Close your dominant hand into a fist, indicating the end of the sign.",36,3,99,0
160,"Start with both hands in a flat position, palms facing down, and move them up and down in a wave-like motion to represent the coast.",37,1,5,7
161,"Bring both hands together at the center of your body, palms facing each other, and then move them apart to the side to represent 'am' (at).",37,2,65,6
162,Finish the sign by bringing both hands towards your chest in a gentle patting motion to represent 'kueste' (coast).,37,3,13,1
163,"Both hands in the 'A' handshape, move them outwards and downwards towards the body.",38,1,46,1
164,"Both hands in the 'M' handshape, place them against the chest with fingers pointing downwards.",38,2,71,5
165,"Both hands in the 'M' handshape, move them outwards in a circular motion.",38,3,29,5
166,"Both hands in the 'E' handshape, move them upwards and outwards towards the sea.",38,4,63,1
167,"Place your dominant hand flat against your non-dominant hand, both facing outwards.",39,1,75,4
168,Move your dominant hand downwards along the edge of your non-dominant hand.,39,2,70,0
169,"Open your dominant hand and move it outwards, away from your non-dominant hand.",39,3,70,3
170,Point to the sky with your index finger.,40,1,64,1
171,Move your hand down to the horizon.,40,2,84,4
172,Open and close your hand repeatedly to show the passing of time during the day.,40,3,28,0
173,Place your dominant hand flat on your chest.,41,1,4,3
174,"Move your hand outwards and downwards in a diagonal motion, ending with your arm extended in front of you.",41,2,46,3
175,Use your non-dominant hand to mimic the shape of the United States on your dominant hand.,41,3,58,0
176,"Point to the ""A"" on the imaginary map.",41,4,61,1
177,Finish by flicking your hand upwards in a motion similar to the American flag waving.,41,5,13,2
178,"Start with the dominant hand in a fist shape, palm facing down, and place it against the non-dominant forearm.",42,1,98,4
179,"Move the dominant hand up the non-dominant arm, keeping the fist shape and palm facing down.",42,2,14,2
180,"When you reach the non-dominant shoulder, slightly release the fist shape and tap the shoulder with the knuckles.",42,3,87,0
181,Repeat the tapping motion a few times for emphasis.,42,4,97,5
182,"Start with both hands open and facing downwards, palms facing each other.",43,1,49,8
183,"Move both hands outwards and upwards simultaneously, as if opening up to something new.",43,2,25,2
184,"Close both hands into fists, facing each other.",43,3,52,2
185,"Open both hands again quickly, this time facing outwards.",43,4,87,13
186,"Pointing to the side with one hand, then turning the palm up.",44,1,54,3
187,Bringing the other hand up and crossing them in front of the chest.,44,2,44,0
188,Opening both hands and wiggling the fingers.,44,3,50,1
189,Pointing with one hand to the opposite side.,44,4,54,3
190,"Start with both hands open in front of you, palms facing down.",45,1,26,5
191,"Rotate both hands simultaneously, turning palms upwards.",45,2,89,3
192,"Bring both hands together in front of you, crossing at the wrists.",45,3,44,3
193,"Open both hands and move them outward, away from each other.",45,4,2,4
194,Start with both hands open and palms facing each other in front of you.,46,1,49,2
195,Move both hands away from each other in a sweeping motion.,46,2,2,4
196,Bring both hands back together in front of you.,46,3,10,1
197,Touch the fingertips of both hands together to signify the beginning.,46,4,16,4
198,"Start with both hands open in front of the body, palms facing down.",47,1,26,1
199,"Move both hands outward and upward, as if expressing something growing or expanding.",47,2,25,4
200,"Close both hands into fists and bring them back towards the body, indicating something being contained.",47,3,83,4
201,"Open both hands again, with palms facing up this time, to show something being presented or offered.",47,4,28,2
202,"Bring your dominant hand up to your chest with fingers closed and palm facing down, then move it outward slightly while opening your fingers and turning your palm up.",48,1,84,2
203,"With your non-dominant hand, make a gentle patting motion on your chest.",48,2,60,3
204,"Bring both hands together in front of you, moving them outward and slightly upward in a smooth, flowing motion.",48,3,62,4
205,Finish by signing the letter 'M' in GSL with your dominant hand by closing your fingers and touching your thumb to your fingertips.,48,4,13,2
206,"Start with both hands open and facing the chest, palms down.",49,1,38,3
207,Move both hands away from the chest while simultaneously curling the fingers inwards.,49,2,2,8
208,"Bring the hands to the forehead, palms facing inwards, while tilting the head slightly forward.",49,3,6,8
209,"Open both hands and move them away from the forehead, with fingers splayed.",49,4,2,7
210,Start with open hands in front of chest,50,1,18,4
211,Bring hands together and move them downwards,50,2,46,5
212,Bring hands back up and open them again,50,3,65,6
213,Move hands downwards again and slightly to the side.,50,4,54,7
214,Extend both index fingers and touch them together in front of the chest.,51,1,11,4
215,Tilt head slightly to the side as if clicking on something.,51,2,30,7
216,Snap fingers together quickly.,51,3,24,1
217,Bring hands back to starting position.,51,4,77,0
218,Hands making a gesture of movement approaching the body,52,1,88,2
219,Hands coming together in front of the chest with fingers pointing towards each other,52,2,1,1
220,Hands opening up and moving away from the body in a sweeping motion with palm facing outwards,52,3,2,6
221,Head nodding slightly in agreement,52,4,6,5
222,"Begin with both hands held up in front of the body, palms facing inwards.",53,1,79,1
223,Bring both hands together in a clapping motion in front of the chest.,53,2,55,1
224,Move both hands downwards in a gathering motion towards the body.,53,3,46,1
225,Bring both hands back up towards the chest.,53,4,41,3
226,Open both hands and spread the fingers outward in a dispersing motion.,53,5,8,6
227,"Make a gesture with both hands, palms facing up, as if holding a binoculars in front of your eyes.",54,1,85,5
228,"Bring your hands closer to your face, as if looking through the binoculars.",54,2,85,5
229,"Move your hands slightly to the left and then to the right, as if scanning the view.",54,3,81,0
230,"Open your eyes wide and nod your head slightly, indicating attentiveness.",54,4,6,6
231,Extend the right index finger and trace a horizontal line in the air from left to right.,55,1,81,1
232,Bring both hands together in front of chest and open them outward like the blooming of flowers.,55,2,44,2
233,Move both hands in a circular motion in front of the chest to represent the changing weather of April.,55,3,29,0
234,Tap the fingertips of the right hand on the palm of the left hand to signify the rain showers of April.,55,4,96,3
235,"Start with your dominant hand open, palm facing up.",56,1,98,1
236,"Place your non-dominant hand on top of your dominant hand, fingers pointing towards your elbow.",56,2,4,1
237,Move your dominant hand up towards your shoulder.,56,3,70,8
238,Close your dominant hand into a fist as you reach your shoulder.,56,4,99,0
239,"Place both hands palms facing down in front of you, parallel to each other.",57,1,1,6
240,"Move both hands in a wave-like motion from left to right, mimicking the movement of waves in the ocean.",57,2,81,3
241,"Bring both hands together in a circular motion, keeping palms facing down.",57,3,29,5
242,"Finish the sign by moving both hands outward and down in a smooth motion, representing the vastness of the Atlantic Ocean.",57,4,13,4
243,"Extend both hands in front of the body with palms facing down, then bring them together in a small clap motion.",58,1,33,5
244,Rotate both hands outward in a circular motion.,58,2,89,2
245,Tilt head slightly to the side while keeping hands in position.,58,3,30,1
246,Repeat the circular motion with hands.,58,4,3,3
247,"Raise both hands to shoulder height, palms facing down.",59,1,27,1
248,"Move hands outward and downward, turning palms up.",59,2,42,0
249,Shake head from side to side.,59,3,9,0
250,"Begin with both hands open, palms facing down, and fingers pointing forward.",60,1,71,4
251,"Bring both hands up in a quick, upward motion, as if lifting something up.",60,2,25,5
252,"At the same time, tilt your head slightly upward.",60,3,6,2
253,Finish with both hands raised above your head.,60,4,13,0
254,"Use your dominant hand to make a 'Y' handshape, palm facing down, and move it downward in a small arc.",61,1,60,2
255,"With your non-dominant hand, make a 'J' handshape, palm facing inwards, and move it across your body from left to right.",61,2,60,4
256,"Use both hands to make '1' handshapes, and move them downwards in a quick motion.",61,3,39,3
257,Finish by nodding your head slightly.,61,4,13,2
258,Start with both hands in a closed fist near the chest.,62,1,57,1
259,Open both hands and move them upwards in a flowing motion.,62,2,63,1
260,"As the hands move up, open the fingers and spread them outwards.",62,3,8,2
261,"At the top, flick the fingers upwards like blossoming flowers.",62,4,87,8
262,Start with both hands open and palms facing each other in front of you.,63,1,49,2
263,"Bring both hands together, intertwining the fingers.",63,2,19,3
264,"Move the intertwined hands in a circular motion, symbolizing meeting or coming together.",63,3,29,5
265,"Bring the hands apart and open them up, indicating the concept of 'aufeinandertreffen'.",63,4,65,2
266,Start with both hands open facing upwards.,64,1,38,5
267,Use one hand to mimic pouring something into the other hand.,64,2,58,0
268,Close both hands into fists as if filling up a container.,64,3,52,2
269,Close both hands together and move upwards slightly in front of the chest.,64,4,44,2
270,"Start with both hands open, palms facing down, and bring them up to your shoulders.",65,1,38,0
271,"Twist your hands so that your palms are facing up, and move them upwards and outwards.",65,2,53,2
272,Raise your eyebrows and lift your head slightly to signify a change in mood or attitude.,65,3,91,0
273,Lower your hands back down to your sides.,65,4,84,1
274,"Start with both hands in fists in front of the chest, palms facing down",66,1,18,1
275,"Open the fists and move the hands downward and outward, as if letting go of something",66,2,22,0
276,Bring the hands back to the chest and close the fists again,66,3,83,0
277,"Tilt the head slightly to the side, indicating the concept of stopping.",66,4,30,12
278,Start with both hands open and facing upwards in front of the chest.,67,1,26,4
279,"Move both hands upwards and outwards while opening the fingers, symbolizing the clearing of the sky.",67,2,87,3
280,Tilt the head slightly upwards to indicate the sky.,67,3,30,5
281,"Bring both hands back towards the chest with fingers closed, symbolizing the clearing of the weather.",67,4,41,3
282,"Start with your dominant hand flat, palm facing down, and your non-dominant hand open, palm facing up.",68,1,98,1
283,"Bring your dominant hand up and slightly forward, while keeping your non-dominant hand still.",68,2,70,0
284,"Rotate your dominant hand so that your thumb is pointing up, and your fingers are pointing forward.",68,3,21,1
285,"Bring your non-dominant hand up to meet your dominant hand, with both palms facing each other.",68,4,67,1
286,"Start with both hands at chest level, fingers spread out.",69,1,56,0
287,"Move both hands upwards and outwards, spreading fingers further apart.",69,2,69,1
288,"Rotate both hands in a circular motion, opening and closing fingers.",69,3,89,2
289,"Bring hands back to chest level, fingers close together.",69,4,82,6
290,"Begin with both hands open, palms facing down, and move them upwards in a fluttering motion.",70,1,63,2
291,"Bring both hands together in front of your chest, fingers interlocking, and then separate them quickly to the sides.",70,2,94,0
292,Repeat the fluttering motion with both hands moving upwards again.,70,3,3,2
293,Add two quick claps with both hands while keeping them in front of your chest.,70,4,39,2
294,"Finish by making a double plus sign with both hands, extending your index fingers and thumbs to form two crosses.",70,5,92,1
295,"Start with both hands in a flat shape, palms facing down, at chest level.",71,1,56,3
296,"Move both hands upwards and outwards simultaneously, fingers wiggling.",71,2,63,3
297,Continue moving hands upwards and outwards until they are fully extended above the head.,71,3,86,3
298,Quickly twist both hands and open fingers as if breaking something apart.,71,4,22,0
299,"Drop hands back down to chest level, palms facing down.",71,5,82,7
300,"Start with both hands in a closed 5-handshape, palms facing each other.",72,1,49,3
301,"Move both hands upward and slightly apart, opening the fingers into a 1-handshape.",72,2,50,1
302,Twist both hands in opposite directions while moving them further apart.,72,3,74,3
303,"Repeat the twisting motion with both hands, emphasizing the separation.",72,4,3,2
304,"Start with hands together, palms facing each other in front of chest.",73,1,49,4
305,"Move hands apart and slightly upwards, as if signaling to pay attention.",73,2,85,4
306,Bring hands back together in front of chest.,73,3,10,1
307,Repeat the movement of bringing hands apart and back together.,73,4,88,2
308,"Start with flat hands facing down, close to the body.",74,1,5,6
309,"Slowly bring hands up and outward in a circular motion, as if emerging from water.",74,2,93,5
310,"Continue to bring hands up and outward, with palms facing upward.",74,3,62,1
311,"Open hands and raise them above the head, as if surfacing from water.",74,4,34,3
312,"Start with both hands in a closed fist, palms facing down, at waist level.",75,1,17,1
313,"Bring both hands up towards your chest, opening the fists as you go.",75,2,41,3
314,"Continue moving the hands upwards, wrists rotating slightly so that the palms eventually face up.",75,3,53,1
315,"Finish by extending the hands outwards and upwards, as if stretching or raising something up.",75,4,25,5
316,"Begin with both hands in fists, palms facing down, near your chest.",76,1,57,2
317,"Move both hands outwards and upwards, while opening them into flat hands with palms facing up.",76,2,50,2
318,"Continue moving hands upwards past head level, slightly twisting them at the same time.",76,3,86,3
319,"Bring hands down in a zig-zag motion, as if pulling something down.",76,4,22,1
320,Repeat the zig-zag motion twice more.,76,5,3,3
321,"Finish with hands by your sides, palms facing upwards.",76,6,13,1
322,"Extend left index finger, palm facing up, and tap right index finger on left palm twice.",77,1,96,0
323,"Bring both hands up to chest level, palms facing each other, and open hands into 'A' shapes.",77,2,82,1
324,Move hands away from each other while closing fingers into fists.,77,3,7,0
325,"Bring right hand up to the side of head, palm facing down, and tap twice.",77,4,96,2
326,"Start with both hands in fists, palms facing inward, at chest level.",78,1,56,0
327,"Open both hands and push them away from the body, extending the arms fully.",78,2,2,0
328,Tilt the head slightly to the side as the hands move outward.,78,3,30,0
329,"Relax the hands and bring them back towards the body, ending in fists at chest level.",78,4,41,5
330,Start with both hands in a 'V' shape in front of the chest,79,1,18,0
331,"Move hands outwards away from each other, while slightly rotating them",79,2,2,4
332,Extend both arms out to the sides,79,3,23,1
333,Tilt head slightly to the side.,79,4,30,3
334,"Extend both arms out in front of you, palms facing down.",80,1,23,0
335,Turn your palms up and bring your arms closer to your body.,80,2,84,5
336,"Cross your arms in front of you, palms facing outward.",80,3,68,2
337,Hold this position for a few seconds.,80,4,40,0
338,"Use your dominant hand to create the sign for 'exception' by forming a '5' handshape, with your fingers straight and together, and tapping your index finger on your non-dominant palm.",81,1,70,4
339,"Bring your dominant hand up to your forehead and then outward, as if pushing away the concept of exception.",81,2,85,5
340,Tilt your head slightly back while creating a questioning expression on your face.,81,3,6,2
341,"Bring both hands together in front of you in a clasping motion, with your fingers interlaced, to signify the idea of something being rare or exceptional.",81,4,44,8
342,"Start with the dominant hand in the 'A' handshape, palm facing down, and the non-dominant hand in the 'S' handshape, palm facing up.",82,1,98,4
343,"Move the dominant hand forward and twist it so the palm faces up, while moving the non-dominant hand forward.",82,2,14,2
344,Rotate the dominant hand in a circular motion while keeping the non-dominant hand stationary.,82,3,14,2
345,"Bring both hands together in front of the chest, with the dominant hand slightly higher than the non-dominant hand.",82,4,14,5
346,"Place the non-dominant hand in front of the body, palm facing up.",83,1,75,6
347,Use the dominant hand to trace a circle in the air above the non-dominant hand.,83,2,14,8
348,"Bring the dominant hand to the chin, palm facing down, and then flick it forward.",83,3,98,5
349,Repeat the circle motion in the air above the non-dominant hand.,83,4,14,8
350,"Bring the dominant hand to the forehead, palm facing down, and then flick it forward.",83,5,98,5
351,"Raise both hands in front of you, palms facing down",84,1,33,1
352,Move the hands outwards and upwards in a circular motion,84,2,63,4
353,Bring both hands back to the starting position,84,3,77,0
354,Extend both index fingers and point them outward,84,4,11,2
355,Move both index fingers in a zigzag motion,84,5,11,1
356,Circle both hands around each other,84,6,31,1
357,Tap the forehead with the fingertips of both hands,84,7,16,2
358,Lower both hands downwards in a quick motion,84,8,39,3
359,"Start with both hands in a ""L"" handshape, pointing outward.",85,1,71,1
360,Move both hands in a circular motion towards your chest.,85,2,29,8
361,Shake both hands quickly while moving them up and down.,85,3,86,1
362,"With both hands in a ""Y"" handshape, move them outward and upward.",85,4,62,1
363,"Repeat the same motion with both hands in a ""V"" handshape, moving them outward and upward.",85,5,62,4
364,Use both hands to mimic steering a steering wheel in front of you.,86,1,58,3
365,Move both hands forward as if driving a car.,86,2,85,7
366,Bring both hands back to the starting position.,86,3,77,0
367,Repeat the steering wheel motion.,86,4,3,3
368,"Extend both hands in front of you, palms facing down.",87,1,33,3
369,"Move both hands forward in a straight line, mimicking cars driving on a highway.",87,2,36,5
370,"Bring both hands back towards your body, then extend them forward again.",87,3,41,5
371,Repeat the driving motion a few times to emphasize the concept of a highway.,87,4,97,5
372,Start with both hands flat and palms facing downwards.,88,1,5,6
373,"Keeping the hands in the same position, move them in a circular motion clockwise.",88,2,29,9
374,"As you continue the circular motion, bring the hands closer together.",88,3,93,2
375,Finish the sign by closing the hands into fists next to each other.,88,4,7,2
376,"Start with both hands open, palms facing each other",89,1,49,8
377,Bring hands together so that the fingertips touch,89,2,16,4
378,Rotate hands slightly to the left,89,3,89,1
379,"Bring hands apart diagonally, with fingers pointing outwards",89,4,71,2
380,Start with hands clasped together in front of chest.,90,1,18,7
381,Move hands downwards in a swift motion.,90,2,46,3
382,"Open hands and extend fingers, palms facing down.",90,3,38,3
383,Shake hands in front of body.,90,4,33,1
384,"Bring both hands out in front of you, palms facing down.",91,1,33,3
385,Wiggle fingers of both hands to mimic water.,91,2,58,3
386,"Move hands in a circular motion, mimicking water.",91,3,29,5
387,"Bring hands up towards chest, mimicking washing.",91,4,41,3
388,"Move hands down towards waist, mimicking bathing.",91,5,87,4
389,"Begin with both hands in a 'B' handshape, palms facing inwards.",92,1,79,0
390,"Move both hands in a circular motion from the chest outward, as if outlining the shape of a circle.",92,2,93,1
391,Change the 'B' handshapes into 'W' handshapes by extending the thumb and index finger.,92,3,51,0
392,"Cross both 'W' handshapes in front of the chest, with the left hand on top of the right hand.",92,4,37,0
393,"Move both hands downwards in a diagonal motion, as if drawing a line from the chest to the waist.",92,5,93,0
394,"Open both hands into 'T' handshapes, palms facing downwards.",92,6,51,0
395,Tap the 'T' handshapes on the right shoulder.,92,7,96,3
396,"Move both hands downwards in a circular motion, as if outlining the shape of a downward spiral.",92,8,93,4
397,"End with both hands in a 'G' handshape, palm facing inwards.",92,9,79,0
398,"Start with both hands flat, palms facing down, and move them towards each other in front of your chest.",93,1,49,6
399,"Quickly open your hands and bring them up to the sides of your head, fingers pointing up.",93,2,94,1
400,"Close your hands into fists and move them upwards towards the top of your head, as if imitating hair growing.",93,3,85,1
401,"Open your hands and flick your fingers outwards, as if representing the concept of soon or shortly.",93,4,85,5
402,"Both hands form fists with thumbs outward, then move downward in front of the body.",94,1,42,2
403,Both hands then move outward and upward in a circular motion.,94,2,62,4
404,"Both hands then come together in front of the chest, with the right hand on top of the left hand.",94,3,37,0
405,Head nods once.,94,4,6,5
