,sentence,word_index,sentence_index,l1_label,l2_label
63,Snap fingers open quickly while raising head back up.,14,3,8,0
64,"Begin with both hands in a flat 'A' shape, palms facing down.",15,1,29,3
65,"Bring both hands up and curve the fingers slightly, simulating the number eight.",15,2,88,11
66,Hold the hand position briefly to represent the concept of 'eight'.,15,3,88,15
67,Lower both hands back down to the starting position.,15,4,53,1
68,Repeat the motion as needed for emphasis.,15,5,64,1
69,"Start with both hands in a 9 handshape, palms facing down.",16,1,14,4
70,Bring both hands up and twist them so they are facing towards each other.,16,2,99,2
71,Circle the hands around each other in a clockwise direction.,16,3,63,1
72,Bring the hands back down to the starting position.,16,4,53,3
73,"Start with both hands held out in front of you at chest level, palms facing down.",17,1,65,3
74,Move both hands downwards in a quick motion.,17,2,87,2
75,"Bring both hands back up to chest level, palms facing down.",17,3,4,1
76,Make a circular motion with both hands while moving them outwards.,17,4,94,1
77,"Bring both hands back together in front of you, palms facing down.",17,5,65,4
78,Repeat the circular motion with both hands while moving them outwards.,17,6,55,4
79,"Finish by bringing both hands down towards your body, palms facing down.",17,7,59,1
80,Raise right hand to forehead with fingers spread out.,18,1,46,5
81,Bring hand down with firm movement.,18,2,88,11
82,"Tilt head slightly forward, eyes wide open.",18,3,15,7
83,Hold position for a moment.,18,4,30,1
84,"Extend both hands in front of you, palms facing down.",19,1,65,0
85,Tilt your head slightly to the right.,19,2,15,3
86,Bring both hands together in a clapping motion.,19,3,67,1
87,"Raise your left hand above your head, with the index finger extended.",19,4,21,1
88,Begin with both hands in the ASL number 8 sign.,20,1,80,0
89,Rotate both hands clockwise at the wrist.,20,2,63,0
90,Extend both index fingers to form the ASL number 0 sign.,20,3,80,0
91,"Bring both hands together in front of the chest, with palms facing towards each other.",20,4,40,1
92,"Separate hands and rotate them outward, palms facing upwards.",20,5,72,2
93,Tilt head slightly downwards while maintaining hand position.,20,6,15,4
94,Begin with both hands open and palms facing each other in front of the chest.,21,1,2,6
95,"Move both hands outward and slightly upward in a parallel motion, keeping palms facing each other.",21,2,0,1
96,Bring both hands back to the starting position in a smooth and controlled manner.,21,3,16,2
97,"Begin with both hands in fists, palms facing each other in front of your chest.",22,1,2,6
98,"Open your hands and rotate them outward, as if turning a dial.",22,2,52,6
99,"Bring your hands back together in fists, palms facing each other.",22,3,40,3
100,"Repeat the motion of opening and closing your hands, rotating outward.",22,4,55,8
101,"Point both index fingers towards the ground, moving them in a circular motion.",23,1,79,6
102,"Bring both hands up to chest level, with palms facing down.",23,2,4,1
103,"Extend both arms outwards, moving them in a sweeping motion towards the right side.",23,3,96,2
104,"Bring both hands together, forming a globe shape in front of the chest.",23,4,85,2
105,Tilt head slightly to the left while holding the globe shape.,23,5,15,0
106,Start with both hands in fists at chest level.,24,1,76,0
107,Extend both arms outwards in front of you.,24,2,65,2
108,"Bring both hands back towards your body, twisting them in a circular motion.",24,3,77,0
109,"Open both hands with palms facing upwards, moving them upwards in a rising motion.",24,4,41,1
110,Open both hands with palms facing upwards.,25,1,41,1
111,"Bring both hands together in front of chest, fingers slightly curled.",25,2,49,2
112,Rotate both hands in a circular motion.,25,3,24,2
113,"Move both hands upwards and slightly outwards, palms facing outwards.",25,4,73,1
114,Start with both hands open and palms facing outward.,26,1,60,1
115,"Bring both hands towards the center of the body, crossing them in front of the chest.",26,2,37,0
116,"Separate both hands outward in a sweeping motion, palms facing outward.",26,3,13,1
117,"Bring both hands back together at the center of the body, palms facing each other.",26,4,40,6
118,"Place both hands in front of chest, palms facing down.",27,1,69,6
119,"Move both hands outward in a circular motion, keeping palms facing down.",27,2,5,0
120,"Bring both hands together in front of chest, palms facing down.",27,3,49,9
121,"Move both hands upward, twisting them so palms face upward.",27,4,82,3
122,"Separate hands and move them outward, palms facing outward.",27,5,72,2
123,"Bring hands back together in front of chest, palms facing down.",27,6,49,9
124,"Start with both hands in a closed fist, palms facing down at chest height.",28,1,10,3
125,"Open both hands simultaneously, spreading fingers wide.",28,2,44,1
126,Move both hands outward and slightly downward in a sweeping motion.,28,3,13,2
127,"Bring both hands back to starting position, ready to repeat the sign if necessary.",28,4,16,0
128,Start with both hands making a mountain shape in front of the body.,29,1,35,2
129,Move the hands upwards and slightly apart to represent the Alps mountain range.,29,2,8,3
130,Keep the hands in the same position to emphasize the size and grandeur of the mountains.,29,3,88,19
131,"Finish the sign by bringing the hands back down to their starting position, symbolizing the Alps.",29,4,59,0
132,Hands form mountain shape with fingers pointed upward.,30,1,35,3
133,Hands move in a rolling motion to signify the mountains.,30,2,88,19
134,Hands spread apart to signify the vastness of the mountain range.,30,3,88,19
135,Head tilts slightly to show the curvature of the mountain range.,30,4,9,1
136,"Start with both hands in a flat, open position by your sides.",31,1,7,0
137,Move both hands upwards in a wavy motion to represent mountains.,31,2,73,3
138,Bring hands close together in front of you to show a valley between the mountains.,31,3,88,19
139,"Finish by pointing downwards with both hands to represent the word ""valley"" in ALPENTAL.",31,4,59,2
140,Hand fingerspelling 'A',32,1,34,0
141,Hand fingerspelling 'L',32,2,34,0
142,Hand fingerspelling 'S',32,3,34,0
143,Point to yourself,33,1,79,1
144,Then point to the other person,33,2,79,1
145,Bring both hands together,33,3,49,8
146,With a slight nod of the head,33,4,27,1
147,Raise dominant hand to shoulder height with palm facing down.,34,1,91,1
148,Bring dominant hand down to waist level while rotating wrist.,34,2,31,0
149,"Repeat the motion, emphasizing the concept of age or seniority.",34,3,55,0
150,Nod head in agreement as a final gesture.,34,4,27,0
151,Position right hand in a fist near the chest.,35,1,10,2
152,Extend index finger of right hand upwards.,35,2,89,0
153,Tilt head slightly to the right while maintaining hand position.,35,3,15,4
154,Hold position for emphasis.,35,4,64,0
155,"Start with both hands open and facing outward, palms down.",36,1,60,1
156,"Bring hands together in a wave-like motion, mimicking the movement of waves crashing on the shore.",36,2,88,6
157,"Extend both hands outwards towards the imaginary coast, with fingers spread apart.",36,3,46,2
158,"Rotate both hands in a circular motion, symbolizing the encompassing nature of being at the coast.",36,4,24,0
159,"Extend both hands forward, palms facing down, and move them in a wavy motion to represent water.",37,1,84,3
160,"Bring both hands together in front of you, fingertips touching, to symbolize the sea.",37,2,36,0
161,Tilt your head slightly downwards to indicate the concept of ‘at’ or ‘by’.,37,3,15,5
162,Repeat the motion of the sea with your hands to emphasize the location ‘at the sea’.,37,4,55,2
163,"Start with both hands in a closed fist position, palms facing downwards.",38,1,10,4
164,"Extend both hands outwards, keeping the palms facing downwards.",38,2,51,1
165,"Bring both hands together at the center of the body, palms facing each other.",38,3,40,6
166,"Move both hands upwards in a curved motion, ending with the palms facing upwards at chest level.",38,4,41,1
167,"Make a circling motion with your right hand above your head, representing the sun.",39,1,21,3
168,"Bring both hands down in front of you, palms facing up, to signify daytime.",39,2,65,0
169,"Tap your index finger on your wrist to indicate the concept of ""at"".",39,3,89,2
170,Repeat the circling motion with your right hand above your head to emphasize the time of day.,39,4,55,3
171,Handshape 'A' moves from the chest outwards towards the right side.,40,1,18,3
172,Handshape 'M' moves from the forehead outwards towards the left side.,40,2,18,3
173,Handshape 'E' moves from the chin downwards towards the right side.,40,3,18,3
174,"Handshape 'R' moves in a circular motion above the head, ending on the right side.",40,4,18,2
175,Handshape 'I' moves from the forehead outwards towards the left side.,40,5,18,3
176,Handshape 'K' moves from the shoulder downwards towards the right side.,40,6,18,3
177,Extend the index finger of the dominant hand and point downwards.,41,1,11,1
178,"Bring the hand up towards the body, in a straight line.",41,2,62,1
179,"Extend the non-dominant hand downwards, palm facing upwards.",41,3,3,1
180,"Position the dominant hand directly above the non-dominant hand, close together.",41,4,3,5
181,"Lower the dominant hand onto the non-dominant hand, with the fingers touching.",41,5,3,5
182,Start with hands open and palms facing each other.,42,1,2,1
183,Cross right hand over left hand.,42,2,61,1
184,Uncross hands and open fingers.,42,3,56,2
185,Move hands outwards in opposite directions.,42,4,23,2
186,Bring hands back together and touch fingertips.,42,5,36,1
187,Open hands and flick fingers outwards.,42,6,75,0
188,"Starting with both hands open, palms facing each other, bring hands together and interlock fingers.",43,1,28,2
189,"Lift hands up and slightly to the right, twisting at the wrists.",43,2,18,6
190,Separate hands and bring them back together in a circular motion.,43,3,94,1
191,"Open hands and extend fingers outward, palms facing up.",43,4,60,1
192,"Flip hands over, palms facing down, and move hands in a circular motion.",43,5,5,1
193,Repeat the circular motion with hands moving in opposite directions.,43,6,23,0
194,"Finally, bring hands together at chest level and open palms outward in a welcoming gesture.",43,7,70,3
195,Place your dominant hand palm facing down in front of your body.,44,1,98,0
196,Twist your hand clockwise while moving it upwards and to the side.,44,2,63,1
197,"Bring your non-dominant hand up to meet the side of your dominant hand, palm facing inwards.",44,3,98,5
198,"Open both hands simultaneously, with fingers spread.",44,4,46,2
199,"Start with hands together in front of chest, palms down.",45,1,14,1
200,"Move hands outwards and upwards in a V-shape, opening up to the sky.",45,2,73,4
201,"Bring hands back together in front of chest, palms down.",45,3,49,9
202,Repeat the V-shape motion to signify the beginning or start.,45,4,55,0
203,"Start with both hands open, palms facing down, and bring them together in front of your chest.",46,1,14,3
204,"With a slight nod of the head, move both hands outward and upward in a smooth arc.",46,2,27,1
205,"Bring both hands back together in front of your chest, palms facing down.",46,3,49,9
206,Tilt your head slightly to the side while keeping your hands in place.,46,4,86,1
207,"Extend both hands out in front of you, palms facing up.",47,1,65,0
208,Bring both hands up towards your chest in a smooth motion.,47,2,77,6
209,Close both hands into fists and bring them close to your body.,47,3,1,2
210,"Slowly raise both fists upwards, indicating a sense of comfort or pleasantness.",47,4,88,9
211,Start with both hands open and palms facing in towards your body,48,1,60,0
212,"Move both hands up towards your chest, with fingers slightly curled",48,2,21,2
213,"Bring both hands up towards your face, with a look of fear on your face",48,3,21,2
214,"Make a quick, sharp movement away from your body with both hands",48,4,42,0
215,"Finish by holding both hands out in front of you, palms facing up and fingers slightly spread",48,5,65,0
216,Begin with both hands forming the letter A in fingerspelling.,49,1,34,2
217,Move both hands downward and outward in a sweeping motion.,49,2,13,2
218,Bring both hands together in a clasping motion at chest level.,49,3,70,0
219,Tilt head slightly to the left while holding the clasped hands.,49,4,15,0
220,Point index finger of dominant hand towards non-dominant palm,50,1,3,6
221,Tap index finger on non-dominant palm,50,2,89,4
222,Repeat tapping motion with slight upward movement,50,3,55,4
223,End motion by snapping fingers open and releasing hand,50,4,56,0
224,"Start with both hands in fists, palms facing upwards, and raise them up towards your chest.",51,1,48,3
225,"Move both hands forward simultaneously, as if bringing something towards you.",51,2,22,7
226,Open both hands and bring them close together in front of your chest.,51,3,49,10
227,"Bring both hands down towards the ground, as if landing or arriving.",51,4,52,5
228,"Begin with both hands open, palms facing down, and bring them together in a clapping motion in front of the chest.",52,1,29,4
229,"Continue by moving both hands in a circular motion, as if gathering or collecting something in the hands.",52,2,22,5
230,"Extend both hands forward, as if presenting the gathered items to someone.",52,3,22,4
231,"Finally, bring both hands back towards the chest and repeat the collecting motion.",52,4,55,1
232,"Point both index fingers outward and bring them together in front of the eyes, as if looking at something.",53,1,52,4
233,"Move the fingers up and down in a sweeping motion, indicating the act of watching or observing.",53,2,88,11
234,Tilt the head slightly forward while maintaining the hand position to emphasize concentration on the object being looked at.,53,3,15,4
235,"Slowly move the fingers away from the face while keeping eye contact with the imaginary object, as if finishing the act of watching.",53,4,88,13
236,"Extend left hand out with palm facing up, while right hand taps on the back of the left hand.",54,1,6,4
237,Move both hands in a circular motion in front of the chest.,54,2,97,1
238,Bring both hands together and then flick them upwards.,54,3,75,1
239,Tap fingertips of both hands together twice.,54,4,32,1
240,Extend your right arm straight out in front of you.,55,1,54,1
241,Bend your elbow to bring your hand closer to your body.,55,2,21,7
242,Use your left hand to touch your right bicep muscle.,55,3,21,1
243,"Move your right arm in a circular motion, mimicking the movement of a bicep curl.",55,4,47,9
244,"Place hands in front of body, palms facing down",56,1,69,6
245,"Move hands outward, keeping palms facing down",56,2,5,0
246,"Make a circular motion with both hands, as if tracing the shape of a wave",56,3,22,8
247,"Bring hands together in front of body, palms facing down",56,4,69,5
248,Tilt head slightly to the left while keeping hands together,56,5,15,6
249,Begin with both hands in a neutral position in front of the body.,57,1,43,1
250,"Bring both hands up to chest level, palms facing down.",57,2,4,1
251,"Lift both hands slightly higher, with palms facing inward towards each other.",57,3,28,2
252,"Move both hands outwards simultaneously, as if encompassing something.",57,4,22,7
253,Raise both hands with palms facing up and fingers pointing towards the sky.,58,1,90,1
254,Bring both hands together in front of the chest with palms touching.,58,2,36,2
255,Extend the hands upward in a swift motion.,58,3,82,1
256,Lower the hands back down to the starting position.,58,4,53,1
257,Hands in the air in a downward motion.,59,1,25,4
258,Hands come together in front of the chest.,59,2,49,8
259,Hands move outward to the sides.,59,3,50,4
260,Head nods in affirmation.,59,4,38,0
261,Start with your hands in fists by your chest.,60,1,21,2
262,Open your hands and extend your fingers outwards.,60,2,21,0
263,"Bring your hands up and outwards, as if a flower blooming.",60,3,22,3
264,Turn your palms upwards and flutter your fingers like petals in the wind.,60,4,21,5
265,Move both hands forward and slightly upward in a circular motion.,61,1,82,1
266,"Bring hands together in front of chest, palms facing each other.",61,2,40,2
267,Separate hands and twist them in opposite directions.,61,3,23,5
268,Bring hands back together in a clapping motion.,61,4,67,1
269,Move hands apart and push outward.,61,5,8,1
270,Bring hands back together in a clapping motion.,61,6,67,1
271,Extend arms out to the sides with palms facing down.,61,7,50,2
272,"Start with both hands open, palms facing up, at chest level.",62,1,76,2
273,"Bring both hands up and outwards, mimicking filling a container.",62,2,88,7
274,Close both hands into fists and bring them back towards the body.,62,3,1,6
275,"Open both hands quickly, palms facing up again.",62,4,60,5
276,Repeat the filling motion with both hands a couple more times.,62,5,68,0
277,"Start with the hands at chest level, palms facing down",63,1,76,2
278,Lift the hands up and out to the sides,63,2,50,2
279,Rotate the palms up as if lifting something up,63,3,52,3
280,Bring the hands back down to chest level,63,4,4,2
281,Tilt the head slightly forward,63,5,15,7
282,Repeat the movement with a slight smile on the face,63,6,55,2
283,"Begin with both hands flat and palms facing down, arms extended out in front of the body.",64,1,29,4
284,"Bring both hands upward towards the chest, crossing them in front of the body.",64,2,37,0
285,"Rotate both hands so that the palms are now facing up, and move them away from the body in a stopping motion.",64,3,99,2
286,Bring both hands back towards the body and lower them back down to the starting position.,64,4,53,3
287,"Start with hands open in front of chest, palms facing down.",65,1,14,1
288,"Move both hands upwards and outwards, flipping palms to face up as if lifting something up.",65,2,22,10
289,"Bring hands back towards chest, palms facing down.",65,3,4,8
290,Open hands and spread fingers outwards as if releasing something.,65,4,52,2
291,"Hands open, palms facing down, move upward in a circular motion.",66,1,5,1
292,Head tilts slightly upward.,66,2,9,4
293,"Hands move apart, fingers spread out, then come back together in front of the chest.",66,3,46,6
294,"Hands then move outwards and upwards, as if something is rising.",66,4,22,3
295,"Raise both hands in front of the chest, palms facing each other.",67,1,2,0
296,"Move both hands outward and upward, spreading fingers apart.",67,2,44,2
297,Rotate both hands in a circular motion while moving them upward.,67,3,24,4
298,"Bring both hands back together in front of the chest, fingers loosely interlocked.",67,4,49,8
299,"Open both hands and flick fingers outward, simultaneously tilting head slightly to the side.",67,5,75,0
300,Complete the sign with a small smile.,67,6,80,4
301,"Flat hands facing down move upwards, separating and dispersing.",68,1,73,1
302,The movement of hands shows dissolving or resolving something.,68,2,88,10
303,Both hands open up and spread out to the sides.,68,3,50,5
304,Fingers wiggle slightly to represent dispersion or disintegration.,68,4,88,11
305,Raise both hands up with palms facing outwards.,69,1,48,0
306,Bring both hands down and cross them in front of the chest.,69,2,26,0
307,"Open hands and extend arms outwards, as if pushing something away.",69,3,22,1
308,Bring hands back towards the body and clasp them together in front of the chest.,69,4,77,8
309,"Start with hands closed in fists at chest level, palms facing inwards.",70,1,76,0
310,"Extend both arms forward and upwards, opening hands as if breaking through the surface.",70,2,22,1
311,"Bring both hands together above head, fingers interlocking and palms facing downwards.",70,3,19,1
312,"Lower hands back down to chest level, closing them in fists again.",70,4,4,5
313,Start with hands together in front of chest with palms facing each other,71,1,2,2
314,Spread hands apart in a fluid motion,71,2,46,6
315,"Move hands in opposite directions, mimicking the action of dividing or splitting",71,3,23,2
316,Bring hands back together in front of chest to indicate completion of the action,71,4,49,8
317,"Start with both hands facing down, palms open and fingers together, then lift them up towards your chest.",72,1,60,0
318,"Rotate your hands so that your palms are facing up, then extend them out in front of you.",72,2,99,2
319,"Bring your hands back towards your chest, while curling your fingers slightly.",72,3,21,7
320,"Open your hands and move them upwards, mimicking the action of pulling something up.",72,4,73,2
321,Point index finger of both hands towards the sky,73,1,79,2
322,Rotate index fingers in a circular motion,73,2,24,5
323,"Bring hands down in front of chest, fingers pointing towards each other",73,3,66,1
324,Separate hands while extending fingers outwards,73,4,72,1
325,Bring hands back together in front of chest with fingers pointing towards each other,73,5,40,5
326,Raise both hands with palms facing down.,74,1,48,0
327,Move both hands away from the body in a sweeping motion.,74,2,71,4
328,Close the hands into fists as they move further away from the body.,74,3,71,5
329,Bring the closed fists back towards the body in a swift motion.,74,4,77,5
330,"Both hands start together at the chest, then move apart in opposite directions.",75,1,23,1
331,Both hands move further away from each other while still facing each other.,75,2,28,1
332,Both hands rotate in a circular motion away from each other.,75,3,71,4
333,Both hands come back together at chest level.,75,4,70,0
334,"Extend both hands out in front of the body, palms facing down.",76,1,69,1
335,"Interlock the fingers of both hands and bring them up towards the chin, keeping the palms facing up.",76,2,77,3
336,"Hold the position for a moment, indicating stability or endurance.",76,3,30,1
337,"Release the fingers and bring both hands down and outwards, as if letting go or releasing tension.",76,4,22,3
338,"Start with both hands open, palms facing down, and move them up and outwards.",77,1,60,4
339,Rotate both hands while bringing them back towards the body.,77,2,77,4
340,Extend the right index finger and trace a circle in the air above the open left hand.,77,3,11,3
341,Close both hands into fists and bring them close to the chest.,77,4,1,1
342,Start with both hands in a flat open position.,78,1,7,0
343,Rotate both hands in a circular motion towards the right.,78,2,24,2
344,Bring both hands together in front of your chest.,78,3,49,10
345,Extend both hands outwards in opposite directions.,78,4,23,2
346,"Start with hands flat in front of chest, palms facing down.",79,1,7,1
347,"Move hands outward in a circular motion, ending with fingers pointing outwards.",79,2,47,3
348,"Bring hands back towards chest, palms facing inwards.",79,3,74,1
349,"Open fingers and extend arms outwards, mimicking the action of looking at something.",79,4,96,0
350,"Start with hands in front of body, fingers spread out.",80,1,46,6
351,"Move hands outwards in a sweeping motion, emphasizing the expansive nature of the word.",80,2,13,4
352,"Bring hands back towards body, crossing over each other to symbolize the uniqueness of the word.",80,3,37,3
353,"Finish with hands in front of chest, fingers forming a heart shape to convey the exceptional quality of the word.",80,4,85,1
354,Extend both hands forward with palms facing up.,81,1,84,0
355,"Bring hands closer to chest, still facing up.",81,2,4,7
356,"Open hands and move them upwards, palms facing outwards.",81,3,73,1
357,Tilt head slightly upwards and look in the direction of the hands.,81,4,15,8
358,"Begin with hands open at chest level, palms facing each other",82,1,93,2
359,Move both hands outward in a sweeping motion,82,2,13,1
360,Bring hands back together in a clasping motion,82,3,49,5
361,"Extend one hand forward with an open palm, while the other hand gestures towards it",82,4,6,4
362,"Extend both hands out in front of the body, palms facing down.",83,1,69,1
363,"Move both hands forward in a straight line, mimicking the motion of driving a car.",83,2,62,0
364,Bring both hands back to the starting position.,83,3,53,3
365,Repeat the forward motion to emphasize the concept of driving a car.,83,4,55,2
366,"Both hands open, palms facing down, move forward in parallel lines like driving on a highway.",84,1,84,1
367,"Head slightly tilted forward, mimicking the motion of looking ahead while driving.",84,2,8,4
368,"Hands curve slightly to the right, indicating the direction of a highway.",84,3,18,1
369,"Hands continue moving forward in a smooth and continuous motion, mimicking the flow of traffic on a highway.",84,4,88,6
370,"Start with both hands in fists, palms facing each other in front of the chest.",85,1,2,4
371,Open both hands and move them outward and downward in a smooth motion.,85,2,25,2
372,Bring both hands back to the starting position with fists closed.,85,3,53,6
373,Tilt head slightly to the side while repeating the hand movement.,85,4,86,8
374,Start with both hands forming the letter 'B' shape in front of the body.,86,1,85,2
375,Move both hands downwards and slightly outwards at the same time.,86,2,51,3
376,Bring both hands back up to the starting position.,86,3,53,4
377,Repeat the downward and outward movement of both hands.,86,4,55,8
378,Finish by bringing both hands back up to the starting position again.,86,5,59,0
379,"Hands form a 'B' shape, moving in a circular motion near the chest.",87,1,35,2
380,Hands mimic the action of washing or scrubbing the body.,87,2,88,21
381,"Hands move downwards towards the waist, indicating washing or bathing.",87,3,51,4
382,"Hands move away from the body, mimicking water splashing.",87,4,71,4
383,B - Form the letter 'B' with the dominant hand.,88,1,39,2
384,A - Extend the fingers of the non-dominant hand and touch the palm of the dominant hand.,88,2,3,5
385,D - Flip the dominant hand over and touch the fingers to the palm.,88,3,3,5
386,E - Extend all fingers on both hands and bring them together near the chest.,88,4,56,1
387,N - Tap the index finger of the dominant hand on the non-dominant hand.,88,5,3,6
388,"WUERTTEMBERG - Move the dominant hand in a circular motion over the non-dominant hand, symbolizing the region of Wuerttemberg.",88,6,3,0
389,Move right hand from near forehead to slightly above head.,89,1,19,0
390,Bring left hand up from chest level to join right hand above head.,89,2,58,6
391,"Move both hands down in a slow motion, fingers slightly splayed and touching at the fingertips.",89,3,36,0
392,"Start with both hands in fists, thumbs pointed towards each other.",90,1,28,3
393,Bring both hands down in a chopping motion while moving them apart.,90,2,94,4
394,Extend both index fingers and place them on either side of the head.,90,3,56,4
395,Move both hands in a circular motion around the head.,90,4,47,8
396,"Extend both hands in front of chest, palms facing each other.",91,1,2,3
397,"Move hands slightly apart and bring them upwards, mimicking the trunk of a tree.",91,2,73,2
398,Separate fingers on both hands to represent branches.,91,3,72,3
399,Tilt head slightly to the side to indicate the direction of the tree.,91,4,86,4
400,"Extend both hands forward, palms facing down.",92,1,84,1
401,Bring hands together to form a 'B' shape at chest level.,92,2,35,1
402,Rotate hands in a circular motion while moving them outward.,92,3,24,4
403,Finish by dropping hands downward and to the right side.,92,4,59,2
404,"Start with hands at chest level, palms facing downward.",93,1,76,2
405,"Raise both hands up to shoulder level, keeping palms facing downward.",93,2,48,1
406,"Bring hands together at eye level, crossing wrists in front of face.",93,3,37,4
407,"Move hands apart with fingers extended, as if spreading something out.",93,4,44,2
408,Begin with hands in a 'B' handshape at chest level,94,1,93,0
409,Move hands forward in a fluid motion while opening the palms,94,2,84,4
410,"Bring hands together in front of the chest, fingers touching",94,3,36,2
411,Rotate the hands in a circular motion while moving them downwards,94,4,24,4
412,End with hands in a 'T' handshape at waist level.,94,5,31,2
413,"Begin with both hands open, palms facing up, and move them apart as if creating space between two objects.",95,1,22,10
414,"Bring both hands back together and form them into fists, then rotate them in opposite directions as if twisting something.",95,2,23,3
415,"Extend both hands forward, palms facing down, and push down as if setting a condition or requirement.",95,3,84,1
416,"Finish with a sharp movement of both hands outward, as if indicating the finality of a set condition.",95,4,42,0
417,Start with both hands in a closed fist in front of the chest.,96,1,10,6
418,"Open both hands and move them outward, away from the body.",96,2,71,6
419,Bring both hands back toward the chest in a circular motion.,96,3,97,0
420,Repeat the circular motion to indicate the beginning or start of something.,96,4,55,0
421,Extend right hand towards the person you are greeting.,97,1,88,10
422,Open hand and move it in a circular motion towards your chest.,97,2,47,5
423,Smile and nod your head slightly.,97,3,27,2
424,Extend left hand towards the person you are greeting.,97,4,88,10
425,Open hand and move it in a circular motion towards your chest.,97,5,47,5
426,Bring both hands together in front of your chest as if clapping.,97,6,67,2
427,Position both hands in front of the chest with palms facing each other.,98,1,2,3
428,Move both hands outward and upward simultaneously.,98,2,20,2
429,Bring both hands back to the starting position at the chest.,98,3,53,5
430,Repeat the outward and upward movement two more times.,98,4,68,0
431,Raise both hands up and out to the sides.,99,1,50,2
432,Move hands inwards towards the body.,99,2,77,4
433,Tilt head slightly to the side.,99,3,86,3
434,Start with both hands open and palms facing downward.,100,1,60,4
435,Bring both hands together to form a 'book' shape.,100,2,35,0
436,"Open the 'book' with both hands, mimicking the action of flipping pages.",100,3,88,8
437,Close hands back together in the 'book' shape.,100,4,35,2
